iter,elapsed_time,obj,gradnorm,eval,grad,L
117,0.13799287992878817,0.12924971574865243,0.44175359567167816,0,134,290.304344356041
118,0.13900342192209791,0.12857868025139876,0.44020721925934425,0,135,261.2739099204369
119,0.14001862992881797,0.12783843652561555,0.4384996701681862,0,136,235.14651892839322
120,0.14102296292549,0.12702248313129225,0.4366154076961451,0,137,211.6318670355539
121,0.1422819219151279,0.12612385120103012,0.4345376563974253,0,138,190.4686803319985
122,0.1434516719164094,0.12513510468579445,0.43224844812998453,0,139,171.42181229879867
123,0.1445062139100628,0.12404834864107313,0.42972841211537344,0,140,154.2796310689188
124,0.14554933890758548,0.12285525234334477,0.42695746045063926,0,141,138.85166796202694
125,0.14658258890267462,0.12154707979479505,0.42391405155307355,0,142,124.96650116582424
126,0.14763175591360778,0.12011477160612606,0.42059509417306384,0,143,112.46985104924183
127,0.14865571391419508,0.11854911999937687,0.4172148742809883,0,144,101.22286594431765
128,0.14967817191791255,0.11684475642770675,0.41905663365855755,0,145,91.10057934988589
129,0.15070579692837782,0.11509527827494787,0.544028021900833,0,146,81.9905214148973
130,0.15376337991619948,0.11452457120546954,0.4753909830163781,0,149,295.1658770936303
131,0.1547858799167443,0.11395039175726218,0.4589308340848726,0,150,265.64928938426726
132,0.1558249629160855,0.11333832328168326,0.46637330025491835,0,151,239.08436044584053
133,0.1568624629144324,0.11269113635551598,0.5061403340586837,0,152,215.17592440125648
134,0.1578882129106205,0.11206586393242458,0.6298447984950417,0,153,193.65833196113084
135,0.15992592090333346,0.11148001397302909,0.45321682854024375,0,155,348.58499753003554
136,0.16095179590047337,0.11099520811455621,0.4189128833386708,0,156,313.72649777703197
137,0.16197312889562454,0.11048258197140065,0.41008271862671974,0,157,282.35384799932876
138,0.16322300389583688,0.10992253523928591,0.4083203133462666,0,158,254.1184631993959
139,0.16424108689534478,0.1093086148456531,0.41208981482869494,0,159,228.7066168794563
140,0.16526029490341898,0.10864124951047406,0.4287953386274108,0,160,205.8359551915107
141,0.1662814199080458,0.10794233224950273,0.49038834112031915,0,161,185.25235967235963
142,0.16832408690243028,0.10747232122914666,0.41966744448949816,0,163,333.4542474102473
143,0.16934075389872305,0.10700432662753331,0.40374627951590386,0,164,300.1088226692226
144,0.17037054589309264,0.10649716278541314,0.3994624669263341,0,165,270.09794040230037
145,0.17139300490089227,0.105941122630158,0.4003181943123014,0,166,243.08814636207035
146,0.17241954589553643,0.10533319787475995,0.40889473786941305,0,167,218.77933172586333
147,0.17344733788922895,0.10468015175785393,0.44102306626166565,0,168,196.901398553277
148,0.17448017188871745,0.10403992801513501,0.5608524787213147,0,169,177.21125869794932
149,0.17653100489405915,0.10353533738460559,0.45564918038830005,0,171,318.9802656563088
150,0.17756350489798933,0.10305984030970937,0.42800630009340745,0,172,287.08223909067794
151,0.17859317090187687,0.10255676227980819,0.42605540309237544,0,173,258.37401518161016
152,0.17961546189326327,0.1020180803463473,0.44568908972973437,0,174,232.53661366344915
153,0.18064712789782789,0.10146241221182707,0.5116930375433534,0,175,209.28295229710423
154,0.18273891988792457,0.10103435335496859,0.39664858278690673,0,177,376.70931413478763
155,0.1837697108858265,0.10065061936864476,0.38038468205255815,0,178,339.0383827213089
156,0.18480908588389866,0.10023584275852114,0.37628733179602214,0,179,305.134544449178
157,0.1858389198896475,0.09977933134782745,0.37456669727275776,0,180,274.6210900042602
158,0.18686066988448147,0.09927597842953584,0.3738500180584234,0,181,247.1589810038342
159,0.18788629487971775,0.09872151379388801,0.37474790081298953,0,182,222.4430829034508
160,0.1889132118812995,0.09811366439415257,0.381190299976899,0,183,200.1987746131057
161,0.18993566988501698,0.09745990946344571,0.4116364626032585,0,184,180.17889715179516
162,0.19096071187232155,0.09683615487960474,0.5546140746540905,0,185,162.16100743661565
163,0.19400746186147444,0.09648295257090815,0.3666865397277442,0,188,583.7796267718163
164,0.195022878862801,0.09625435244732798,0.3636468277703825,0,189,525.4016640946347
165,0.19604654585418757,0.09600287401321243,0.36303191351320685,0,190,472.8614976851713
166,0.1970667548594065,0.09572442360164161,0.36235062586757555,0,191,425.57534791665415
167,0.198088421850116,0.09541622616497399,0.3615960398070205,0,192,383.0178131249887
168,0.19911688085994683,0.09507524828387857,0.3607605558966837,0,193,344.71603181248986
169,0.20014796385657974,0.09469818043510918,0.35983585647735367,0,194,310.2444286312409
170,0.20121213086531498,0.094281419601415,0.3588128487789551,0,195,279.2199857681168
171,0.20223846487351693,0.09382105270996302,0.35768161234540785,0,196,251.29798719130514
172,0.20326083987310994,0.09331284152146335,0.3564313460437067,0,197,226.16818847217462
173,0.20430083987594116,0.09275220973325547,0.3550503171617882,0,198,203.55136962495718
174,0.20531550687155686,0.09213423325075887,0.35352581546476486,0,199,183.19623266246145
175,0.2063354238634929,0.0914536347533032,0.3518441096132599,0,200,164.87660939621531
176,0.20735121486359276,0.09070478395927127,0.34999042205294073,0,201,148.3889484565938
177,0.2083750898600556,0.08988170509771423,0.34794888446400707,0,202,133.5500536109344
178,0.2093869238597108,0.0889780937748082,0.34570262580234373,0,203,120.19504824984098
